snapshot_date,symbol,contract_date,label,tenor,price
2026-05-07,JCZ26,2026-12-01,Dec 2026,7,510.0
2026-05-08,JCK26,2026-05-01,May 2026,0,607.0
2026-05-08,JCM26,2026-06-01,Jun 2026,1,547.5
2026-05-08,JCN26,2026-07-01,Jul 2026,2,525.0
2026-05-08,JCQ26,2026-08-01,Aug 2026,3,525.5
2026-05-08,JCU26,2026-09-01,Sep 2026,4,525.0
2026-05-08,JCV26,2026-10-01,Oct 2026,5,515.0
2026-05-08,JCX26,2026-11-01,Nov 2026,6,510.0
2026-05-08,JCZ26,2026-12-01,Dec 2026,7,510.0
2026-05-09,JCK26,2026-05-01,May 2026,0,603.5
2026-05-09,JCM26,2026-06-01,Jun 2026,1,547.5
2026-05-09,JCN26,2026-07-01,Jul 2026,2,525.0
2026-05-09,JCQ26,2026-08-01,Aug 2026,3,525.5
2026-05-09,JCU26,2026-09-01,Sep 2026,4,517.5
2026-05-09,JCV26,2026-10-01,Oct 2026,5,515.0
2026-05-09,JCX26,2026-11-01,Nov 2026,6,510.0
2026-05-09,JCZ26,2026-12-01,Dec 2026,7,510.0
2026-05-10,JCK26,2026-05-01,May 2026,0,603.5
2026-05-10,JCM26,2026-06-01,Jun 2026,1,547.5
2026-05-10,JCN26,2026-07-01,Jul 2026,2,525.0
2026-05-10,JCQ26,2026-08-01,Aug 2026,3,525.5
2026-05-10,JCU26,2026-09-01,Sep 2026,4,517.5
2026-05-10,JCV26,2026-10-01,Oct 2026,5,515.0
2026-05-10,JCX26,2026-11-01,Nov 2026,6,510.0
2026-05-10,JCZ26,2026-12-01,Dec 2026,7,510.0
2026-05-11,JCK26,2026-05-01,May 2026,0,603.5
2026-05-11,JCM26,2026-06-01,Jun 2026,1,547.5
2026-05-11,JCN26,2026-07-01,Jul 2026,2,525.0
2026-05-11,JCQ26,2026-08-01,Aug 2026,3,525.5
2026-05-11,JCU26,2026-09-01,Sep 2026,4,517.5
2026-05-11,JCV26,2026-10-01,Oct 2026,5,515.0
2026-05-11,JCX26,2026-11-01,Nov 2026,6,510.0
2026-05-11,JCZ26,2026-12-01,Dec 2026,7,510.0
2026-05-12,JCK26,2026-05-01,May 2026,0,601.75
2026-05-12,JCM26,2026-06-01,Jun 2026,1,547.5
2026-05-12,JCN26,2026-07-01,Jul 2026,2,525.0
2026-05-12,JCQ26,2026-08-01,Aug 2026,3,525.5
2026-05-12,JCU26,2026-09-01,Sep 2026,4,525.0
